日期,楼盘,单价,底价,地区,户型,面积
20201002,首开&华侨城&金茂|东湖金茂府,26500,300万,洪山/青山,3/4,118-141
20201002,长江凯旋城,11300,122万,黄陂/武湖,3,108-124
20201002,美好长江首玺,13500,125万,洪山/白沙洲,3,97-123
20201002,海伦堡汉江府,8200,79万,东西湖/东西湖其它,3/4,96-130
20201002,兰亭大境,16250,171万,沌口开发区/沌口,3/4,105-143
20201002,越秀汉阳星汇云锦,25000,325万,汉阳/钟家村,3,125-142
20201002,新力金沙湾,9500,102万,新洲/阳逻,3,108-118
20201002,电建地产洺悦御府,13200,128万,东西湖/金银湖,3/4,97-143
20201002,碧桂园海昌克拉公馆,14000,65万,东西湖/将军路,1/3,47-82
20201002,观湖园二期,15500,186万,蔡甸/后官湖,4,117-142
20201002,光谷崇文中心,13000,65万,东湖高新/光谷东,1/2/3,50-101
20201002,万博玖珑湾,11000,109万,黄陂/盘龙城,3,121-130
20201002,F天下,30000,760万,黄陂/盘龙城,4/5,245-344
20201002,泛海国际兰海园三期碧海园,37000,962万,江汉/CBD西北湖,4,260
20201002,兴华尚都国际,27000,561万,江汉/CBD西北湖,3/4/5,103-247
20201002,华发中城荟二期中央首府,32650,457万,江汉/CBD西北湖,3/4,95-168
20201002,碧桂园泰富城,15800,55万,沌口开发区/沌口,2,35-57
20201002,鑫聚温莎半岛,26000,1000万,蔡甸/后官湖,4/7/1,385-552
20201002,碧桂园泰富城,22000,160万,沌口开发区/沌口,0,0-0
20201002,华星融城二期,15000,142万,东西湖/将军路,2/3/4,98-140
20201002,泛海国际芸海园,31000,500万,江汉/CBD西北湖,2/3/4/6,102-386
20201002,金色港湾双湖林语,15200,67万,沌口开发区/沌口,3/4/5,119-226
20201002,金地悦江时代,18500,210万,硚口/古田,3/4,114-142
20201002,绿地汉口中心,35000,126万,江岸/塔子湖,0,0-0
20201002,招商沃德公馆,15000,124万,硚口/古田,2/3,83-109
20201002,联泰滨江中心,13000,88万,青山/青山,3,55-68
20201002,御湖园,10500,110万,黄陂/黄陂其它,3,105-128
20201002,恒大科技旅游城,19000,323万,江夏/江夏其它,4/5/6,180-287
20201002,港湾江城二期,13800,166万,沌口开发区/沌口,3,99-130
20201002,卧龙东方郡,17500,300万,东西湖/金银湖,3/4,162-252
20201002,招商江湾国际,30000,0,硚口/古田,0,0-0
20201002,海伦国际,11800,114万,洪山/洪山其它,3,75-111
20201002,中南拂晓城,11464,112万,黄陂/黄陂其它,3/4,98-123
20201002,融创中心武汉壹号院,41200,600万,武昌/水果湖,4,215-245
20201002,融创观澜府,18000,219万,东西湖/吴家山,3/4,122-165
20201002,武汉雅居乐花园,13848,128万,江夏/庙山,3/4,92-143
20201002,都会轩,32000,1270万,江汉/前进江汉,6,397
20201002,当代万国城MOMΛ,15500,141万,汉阳/王家湾,3,91-119
20201002,汉北怡景园,11240,94万,黄陂/武湖,2/3,84-118
20201002,招商一江璟城,19240,260万,青山/青山,3/4,127-171
20201002,远洋汉口中心,15000,105万,江汉/长丰常码头,1/2/4,59-157
20201002,中南熙悦,15700,194万,东西湖/东西湖其它,3/4,125-143
20201002,绿地国博财富中心,25000,195万,汉阳/钟家村,0,0-0
20201002,立方时空,17000,70万,东西湖/吴家山,3,41-55
20201002,光谷未来城,20114,207万,东湖高新/光谷东,3/4,103-140
20201002,金科城,19240,200万,洪山/青山,3/4,115-144
20201002,山海观,13500,129万,黄陂/盘龙城,3/4,97-143
20201002,锦深汉南公馆,6500,87万,汉南/汉南其它,3,134-140
20201002,青年说,18000,60万,汉阳/王家湾,1/2/3/4,33-57
20201002,百步亭现代城,21000,117万,江岸/百步亭,1/2,56-62
20201002,南山十里星空,12500,137万,黄陂/盘龙城,3/4,110-129
20201002,越秀星悦湾畔,16000,79万,汉阳/钟家村,2/3,48-69
20201002,金地自在城,18000,38万,洪山/团结大道,1,20-245
20201002,城投瀚城璞岸,22500,250万,洪山/卓刀泉,3/4,108-230
20201002,新华尚水湾,24700,270万,硚口/古田,3/4,135-184
20201002,国瑞新港广场,6700,81万,新洲/阳逻,3,122-133
20201002,外滩柒号,45000,927万,江岸/三阳路,3,207-292
20201002,天纵御景湾,9800,91万,黄陂/黄陂其它,3/4,97-135
20201002,华中文谷知音盛棠,25000,475万,蔡甸/后官湖,3/6/7,190-1141
20201002,佳兆业滨江壹号,15000,62万,汉阳/王家湾,0,0-0
