,楼盘,单价,行政区,最小面积,最大面积,最小户型,最大户型
0,首开&华侨城&金茂|东湖金茂府,26500.0,洪山,118,141,3,4
1,长江凯旋城,11300.0,黄陂,108,124,3,3
2,美好长江首玺,13500.0,洪山,97,123,3,3
3,海伦堡汉江府,8200.0,东西湖,96,130,3,4
4,兰亭大境,16250.0,沌口开发区,105,143,3,4
5,越秀汉阳星汇云锦,25000.0,汉阳,125,142,3,3
6,新力金沙湾,9500.0,新洲,108,118,3,3
7,电建地产洺悦御府,13200.0,东西湖,97,143,3,4
8,碧桂园海昌克拉公馆,14000.0,东西湖,47,82,1,3
9,观湖园二期,15500.0,蔡甸,117,142,4,4
10,光谷崇文中心,13000.0,东湖高新,50,101,1,3
11,万博玖珑湾,11000.0,黄陂,121,130,3,3
12,F天下,30000.0,黄陂,245,344,4,5
13,泛海国际兰海园三期碧海园,37000.0,江汉,260,260,4,4
14,兴华尚都国际,27000.0,江汉,103,247,3,5
15,华发中城荟二期中央首府,32650.0,江汉,95,168,3,4
16,碧桂园泰富城,15800.0,沌口开发区,35,57,2,2
17,鑫聚温莎半岛,26000.0,蔡甸,385,552,4,1
19,华星融城二期,15000.0,东西湖,98,140,2,4
20,泛海国际芸海园,31000.0,江汉,102,386,2,6
21,金色港湾双湖林语,15200.0,沌口开发区,119,226,3,5
22,金地悦江时代,18500.0,硚口,114,142,3,4
24,招商沃德公馆,15000.0,硚口,83,109,2,3
25,联泰滨江中心,13000.0,青山,55,68,3,3
26,御湖园,10500.0,黄陂,105,128,3,3
27,恒大科技旅游城,19000.0,江夏,180,287,4,6
28,港湾江城二期,13800.0,沌口开发区,99,130,3,3
29,卧龙东方郡,17500.0,东西湖,162,252,3,4
31,海伦国际,11800.0,洪山,75,111,3,3
32,中南拂晓城,11464.0,黄陂,98,123,3,4
33,融创中心武汉壹号院,41200.0,武昌,215,245,4,4
34,融创观澜府,18000.0,东西湖,122,165,3,4
35,武汉雅居乐花园,13848.0,江夏,92,143,3,4
36,都会轩,32000.0,江汉,397,397,6,6
37,当代万国城MOMΛ,15500.0,汉阳,91,119,3,3
38,汉北怡景园,11240.0,黄陂,84,118,2,3
39,招商一江璟城,19240.0,青山,127,171,3,4
40,远洋汉口中心,15000.0,江汉,59,157,1,4
